x1,x2,pdf,E(x1),E(x1^2),E(x1-E(x1)),,,x1,x2,pdf_nn,E(x1),E(x1^2),,,TESTING,x,P(x),E(x),E(x^2),E(x-mux)^2,
7877.550781,-4.552104,0,0,0,0,,,7877.550781,-4.552104,0,0,0,0,,,,,,,,
7918.367188,-4.552104,0,0,0,0,,,7918.367188,-4.552104,0,0,0,0,,,,,,,,
7959.183594,-4.552104,0,0,0,0,,,7959.183594,-4.552104,0,0,0,0,,,,,,,,
8000,-4.552104,0,0,0,0,,,8000,-4.552104,0,0,0,0,,,,,,,,
8040.816406,-4.552104,0,0,0,0,,,8040.816406,-4.552104,0,0,0,0,,,,,,,,
8081.632812,-4.552104,0,0,0,0,,,8081.632812,-4.552104,0,0,0,0,,,,,,,,
8122.449219,-4.552104,0,0,0,0,,,8122.449219,-4.552104,0,0,0,0,,,,,,,,
8163.265137,-4.552104,0,0,0,0,,,8163.265137,-4.552104,0,0,0,0,,,,,,,,
8204.082031,-4.552104,0,0,0,0,,,8204.082031,-4.552104,0,0,0,0,,,,,,,,
8244.898438,-4.552104,0,0,0,0,,,8244.898438,-4.552104,0,0,0,0,,,,,,,,
8285.713867,-4.552104,0,0,0,0,,,8285.713867,-4.552104,0,0,0,0,,,,,,,,
8326.530273,-4.552104,0,0,0,0,,,8326.530273,-4.552104,0,0,0,0,,,,,,,,
8367.34668,-4.552104,0,0,0,0,,,8367.34668,-4.552104,0,0,0,0,,,,,,,,
8408.163086,-4.552104,0,0,0,0,,,8408.163086,-4.552104,0,0,0,0,,,,,,,,
8448.979492,-4.552104,0,0,0,0,,,8448.979492,-4.552104,0,0,0,0,,,,,,,,
8489.795898,-4.552104,0,0,0,0,,,8489.795898,-4.552104,0,0,0,0,,,,,,,,
8530.612305,-4.552104,0,0,0,0,,,8530.612305,-4.552104,0,0,0,0,,,,,,,,
8571.428711,-4.552104,0,0,0,0,,,8571.428711,-4.552104,0,0,0,0,,,,,,,,
8612.245117,-4.552104,0,0,0,0,,,8612.245117,-4.552104,0,0,0,0,,,,,,,,
8653.061523,-4.552104,0,0,0,0,,,8653.061523,-4.552104,0,0,0,0,,,,,,,,
8693.87793,-4.552104,0,0,0,0,,,8693.87793,-4.552104,0,0,0,0,,,,,,,,
8734.693359,-4.552104,0,0,0,0,,,8734.693359,-4.552104,0,0,0,0,,,,,,,,
8775.509766,-4.552104,0,0,0,0,,,8775.509766,-4.552104,0,0,0,0,,,,,,,,
8816.326172,-4.552104,0,0,0,0,,,8816.326172,-4.552104,0,0,0,0,,,,,,,,
8857.142578,-4.552104,0,0,0,0,,,8857.142578,-4.552104,0,0,0,0,,,,,,,,
8897.958984,-4.552104,0,0,0,0,,,8897.958984,-4.552104,0,0,0,0,,,,,,,,
8938.775391,-4.552104,0,0,0,0,,,8938.775391,-4.552104,0,0,0,0,,,,,,,,
