
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 674, Loss: 6.0861e-07, IC: 6.0861e-07, Res: 3.9456e-17 ---
--- Best Epoch: 679, Loss: 6.0290e-07, IC: 6.0290e-07, Res: 1.9162e-16 ---
--- Best Epoch: 692, Loss: 5.8811e-07, IC: 5.8811e-07, Res: 2.5161e-28 ---
--- Best Epoch: 698, Loss: 5.7694e-07, IC: 5.7694e-07, Res: 5.9755e-20 ---
--- Best Epoch: 976, Loss: 5.4717e-07, IC: 5.4717e-07, Res: 3.1052e-18 ---
--- Best Epoch: 977, Loss: 5.2911e-07, IC: 5.2911e-07, Res: 4.1838e-18 ---
--- Best Epoch: 983, Loss: 5.2650e-07, IC: 5.1628e-07, Res: 1.0227e-08 ---
--- Best Epoch: 985, Loss: 5.2555e-07, IC: 5.2555e-07, Res: 1.7596e-22 ---
--- Best Epoch: 990, Loss: 5.0731e-07, IC: 5.0731e-07, Res: 4.2322e-16 ---
[info] Training epoch: 1000, LR: 9.50e-04
--- Best Epoch: 1003, Loss: 4.9497e-07, IC: 4.9497e-07, Res: 5.4071e-16 ---
--- Best Epoch: 1006, Loss: 4.5505e-07, IC: 4.5505e-07, Res: 1.9788e-24 ---
--- Best Epoch: 1062, Loss: 4.4636e-07, IC: 4.4633e-07, Res: 2.8605e-11 ---
--- Best Epoch: 1072, Loss: 4.3776e-07, IC: 4.3776e-07, Res: 5.9344e-19 ---
--- Best Epoch: 1073, Loss: 4.1704e-07, IC: 4.1704e-07, Res: 6.9638e-17 ---
--- Best Epoch: 1079, Loss: 3.8550e-07, IC: 3.8550e-07, Res: 1.3439e-15 ---
--- Best Epoch: 1165, Loss: 3.8456e-07, IC: 3.8456e-07, Res: 4.8037e-18 ---
--- Best Epoch: 1167, Loss: 3.7949e-07, IC: 3.7949e-07, Res: 9.0756e-19 ---
--- Best Epoch: 1170, Loss: 3.5153e-07, IC: 3.5153e-07, Res: 7.3213e-19 ---
--- Best Epoch: 1386, Loss: 2.9989e-07, IC: 2.9989e-07, Res: 1.7241e-22 ---
--- Best Epoch: 1396, Loss: 2.8282e-07, IC: 2.8282e-07, Res: 2.8967e-17 ---
--- Best Epoch: 1401, Loss: 2.7868e-07, IC: 2.7868e-07, Res: 1.1844e-27 ---
--- Best Epoch: 1406, Loss: 2.7621e-07, IC: 2.7621e-07, Res: 2.8853e-27 ---
--- Best Epoch: 1407, Loss: 2.6801e-07, IC: 2.6801e-07, Res: 1.9019e-13 ---
--- Best Epoch: 1412, Loss: 2.5139e-07, IC: 2.5139e-07, Res: 8.6212e-26 ---
--- Best Epoch: 1419, Loss: 2.4318e-07, IC: 2.4318e-07, Res: 1.3580e-24 ---
--- Best Epoch: 1432, Loss: 2.3458e-07, IC: 2.3458e-07, Res: 2.5662e-22 ---
--- Best Epoch: 1436, Loss: 2.3372e-07, IC: 2.3243e-07, Res: 1.2903e-09 ---
--- Best Epoch: 1438, Loss: 2.2961e-07, IC: 2.2856e-07, Res: 1.0443e-09 ---
--- Best Epoch: 1439, Loss: 2.2581e-07, IC: 2.2581e-07, Res: 1.1058e-21 ---
--- Best Epoch: 1445, Loss: 2.1304e-07, IC: 2.1296e-07, Res: 8.3172e-11 ---
--- Best Epoch: 1460, Loss: 2.0398e-07, IC: 2.0398e-07, Res: 6.0837e-28 ---
--- Best Epoch: 1465, Loss: 2.0056e-07, IC: 2.0056e-07, Res: 7.6955e-26 ---
