x1,x2,pdf
7959.183594,1.762868,0.000000
8000.000000,1.762868,0.000000
8040.816406,1.762868,0.000000
8081.632812,1.762868,0.000000
8122.449219,1.762868,0.000000
8163.265137,1.762868,0.000000
8204.082031,1.762868,0.000000
8244.898438,1.762868,0.000000
8285.713867,1.762868,0.000000
8326.530273,1.762868,0.000000
8367.346680,1.762868,0.000000
8408.163086,1.762868,0.000000
8448.979492,1.762868,0.000000
8489.795898,1.762868,0.000000
8530.612305,1.762868,0.000000
8571.428711,1.762868,0.000000
8612.245117,1.762868,0.000000
8653.061523,1.762868,0.000000
8693.877930,1.762868,0.000000
8734.693359,1.762868,0.000000
8775.509766,1.762868,0.000000
8816.326172,1.762868,0.000000
8857.142578,1.762868,0.000000
8897.958984,1.762868,0.000000
8938.775391,1.762868,0.000000
8979.591797,1.762868,0.000000
7020.408203,2.462525,0.000000
7061.224609,2.462525,0.000000
7102.041016,2.462525,0.000000
7142.857422,2.462525,0.000000
7183.673340,2.462525,0.000000
7224.489746,2.462525,0.000000
7265.306152,2.462525,0.000000
7306.122559,2.462525,0.000000
7346.938965,2.462525,0.000000
7387.754883,2.462525,0.000000
7428.571289,2.462525,0.000000
7469.387695,2.462525,0.000000
7510.204102,2.462525,0.000000
7551.020508,2.462525,0.000000
7591.836914,2.462525,0.000000
7632.653320,2.462525,0.000000
7673.469238,2.462525,0.000000
7714.285645,2.462525,0.000000
7755.102051,2.462525,0.000000
7795.918457,2.462525,0.000000
7836.734863,2.462525,0.000000
7877.550781,2.462525,0.000000
7918.367188,2.462525,0.000000
7959.183594,2.462525,0.000000
8000.000000,2.462525,0.000000
8040.816406,2.462525,0.000000
8081.632812,2.462525,0.000000
8122.449219,2.462525,0.000000
8163.265137,2.462525,0.000000
8204.082031,2.462525,0.000000
8244.898438,2.462525,0.000000
8285.713867,2.462525,0.000000
8326.530273,2.462525,0.000000
8367.346680,2.462525,0.000000
8408.163086,2.462525,0.000000
8448.979492,2.462525,0.000000
8489.795898,2.462525,0.000000
8530.612305,2.462525,0.000000
8571.428711,2.462525,0.000000
8612.245117,2.462525,0.000000
8653.061523,2.462525,0.000000
8693.877930,2.462525,0.000000
8734.693359,2.462525,0.000000
8775.509766,2.462525,0.000000
8816.326172,2.462525,0.000000
8857.142578,2.462525,0.000000
8897.958984,2.462525,0.000000
8938.775391,2.462525,0.000000
8979.591797,2.462525,0.000000
7020.408203,3.162182,0.000000
7061.224609,3.162182,0.000000
7102.041016,3.162182,0.000000
7142.857422,3.162182,0.000000
7183.673340,3.162182,0.000000
7224.489746,3.162182,0.000000
7265.306152,3.162182,0.000000
7306.122559,3.162182,0.000000
